,brand,product,color,rgb,rgb0,hex,x,y,r0,g0,b0
41,NUDESTIX,Nudies Bloom All Over Dewy Color,Rusty Rouge (7 g),"(166, 68, 39)","(255, 58, 0)",#a64427,195,166,255,58,0
42,NUDESTIX,Nudies Bloom All Over Dewy Color,Bohemian rose (7 g),"(182, 66, 79)","(255, 0, 29)",#b6424f,162,182,255,0,29
43,NUDESTIX,Nudies Bloom All Over Dewy Color,NUDIES BLOOM CRIMSON LOVER,"(140, 58, 44)","(255, 37, 0)",#8c3a2c,174,140,255,37,0
44,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Inspire (3,9 ml)","(202, 60, 59)","(255, 2, 0)",#ca3c3b,180,202,255,2,0
45,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Fearless (3,9 ml)","(138, 68, 66)","(255, 7, 0)",#8a4442,133,138,255,7,0
46,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Energize (3,9 ml)","(214, 90, 118)","(255, 0, 58)",#d65a76,147,214,255,0,58
47,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Courage (3,9 ml)","(175, 107, 96)","(255, 36, 0)",#af6b60,115,175,255,36,0
48,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Heroic (3,9 ml)","(150, 14, 64)","(255, 0, 94)",#960e40,231,150,255,0,94
49,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Brave (3,9 ml)","(179, 89, 62)","(255, 59, 0)",#b3593e,166,179,255,59,0
50,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Transform (3,9 ml)","(130, 28, 42)","(255, 0, 35)",#821c2a,200,130,255,0,35
51,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Daring (3,9 ml)","(187, 118, 147)","(255, 0, 107)",#bb7693,94,187,255,0,107
52,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Thrilling (3,9 ml)","(118, 74, 63)","(255, 51, 0)",#764a3f,118,118,255,51,0
53,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Ascend (3,9 ml)","(221, 29, 115)","(255, 0, 114)",#dd1d73,221,221,255,0,114
54,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Strengthen (3,9 ml)","(132, 48, 81)","(255, 0, 100)",#843051,162,132,255,0,100
55,RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Motivate (3,9 ml)","(212, 67, 100)","(255, 0, 58)",#d44364,174,212,255,0,58
56,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","028 Actrice - Satin (3,5 g)","(225, 63, 74)","(255, 0, 17)",#e13f4a,183,225,255,0,17
