,brand,product,color,rgb,rgb0,hex,x,y,r0,g0,b0
161,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,02 Crushed Velour,"(176, 60, 69)","(255, 0, 20)",#b03c45,168,176,255,0,20
162,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,"03 Velvet Sunset (3,60 ml)","(254, 37, 22)","(255, 16, 0)",#fe2516,232,254,255,16,0
163,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,04 Kiss Me Softly,"(218, 35, 55)","(255, 0, 28)",#da2337,214,218,255,0,28
164,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,05 Smooth Operator,"(192, 47, 102)","(255, 0, 97)",#c02f66,192,192,255,0,97
165,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,06 Cotton Candy,"(210, 56, 106)","(255, 0, 83)",#d2386a,187,210,255,0,83
166,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,"07 Blown Kiss (3,60 ml)","(208, 92, 105)","(255, 0, 29)",#d05c69,142,208,255,0,29
167,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,09 Desert Cloud,"(185, 71, 70)","(255, 2, 0)",#b94746,158,185,255,2,0
168,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,"11 Cuddle Time (3,60 ml)","(164, 83, 98)","(255, 0, 47)",#a45362,125,164,255,0,47
169,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,12 Pillow Fight,"(214, 93, 100)","(255, 0, 15)",#d65d64,144,214,255,0,15
170,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Lolita - Rose brun,"(197, 140, 146)","(255, 0, 27)",#c58c92,73,197,255,0,27
171,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,BUTTERCUP (3 gr),"(251, 155, 131)","(255, 51, 0)",#fb9b83,121,251,255,51,0
172,SEPHORA COLLECTION,Rouge Matte Lipstick,01 IN THE LIME,"(164, 72, 83)","(255, 0, 30)",#a44853,143,164,255,0,30
173,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Bow N Arrow - Nude fauve,"(203, 158, 153)","(255, 26, 0)",#cb9e99,62,203,255,26,0
174,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Lovesick - Nude mauve,"(186, 126, 138)","(255, 0, 51)",#ba7e8a,82,186,255,0,51
175,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Lolita II - Nude terracotta,"(216, 146, 144)","(255, 7, 0)",#d89290,85,216,255,7,0
176,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Mother - Rose mauve poudré,"(220, 140, 165)","(255, 0, 80)",#dc8ca5,92,220,255,0,80
177,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Berlin - Rose chaud,"(238, 112, 150)","(255, 0, 77)",#ee7096,135,238,255,0,77
178,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Double Dare - Rose cacao,"(233, 146, 152)","(255, 0, 18)",#e99298,95,233,255,0,18
179,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Outlaw - Rouge brique,"(208, 8, 37)","(255, 0, 37)",#d00825,245,208,255,0,37
180,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Nahz Fur Atoo - Pourpre,"(174, 73, 81)","(255, 0, 20)",#ae4951,148,174,255,0,20
181,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,"Vampira (6,6 ml)","(144, 77, 95)","(255, 0, 69)",#904d5f,118,144,255,0,69
182,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Exorcism - Mûre,"(150, 90, 116)","(255, 0, 110)",#965a74,102,150,255,0,110
183,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Ludwig - nude fawn,"(201, 156, 150)","(255, 30, 0)",#c99c96,64,201,255,30,0
184,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Roxy,"(109, 55, 139)","(164, 0, 255)",#6d378b,154,139,164,0,255
185,KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Lovecraft,"(196, 111, 114)","(255, 0, 9)",#c46f72,110,196,255,0,9
186,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,ANGEL (3 gr),"(243, 154, 146)","(255, 21, 0)",#f39a92,101,243,255,21,0
187,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,HONEY BUN (3 gr),"(247, 148, 125)","(255, 48, 0)",#f7947d,125,247,255,48,0
188,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,SWEET CHEEKS,"(214, 133, 116)","(255, 44, 0)",#d68574,116,214,255,44,0
189,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,BABY FACE (3 gr),"(191, 119, 105)","(255, 42, 0)",#bf7769,114,191,255,42,0
190,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,HABIBI (3 gr),"(181, 109, 97)","(255, 36, 0)",#b56d61,118,181,255,36,0
191,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,AMORE (3 gr),"(135, 77, 65)","(255, 44, 0)",#874d41,132,135,255,44,0
192,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,EMPRESS (3 gr),"(243, 175, 138)","(255, 90, 0)",#f3af8a,110,243,255,90,0
193,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,RAJAH (3 gr),"(232, 152, 117)","(255, 78, 0)",#e89875,126,232,255,78,0
194,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,HUSTLA (3 gr),"(237, 147, 121)","(255, 57, 0)",#ed9379,124,237,255,57,0
195,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,MONEY MAKER (3 gr),"(205, 128, 100)","(255, 68, 0)",#cd8064,130,205,255,68,0
196,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,GOAL DIGGER (3 gr),"(170, 119, 88)","(255, 96, 0)",#aa7758,123,170,255,96,0
197,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,BOSS CHICK (3 gr),"(190, 108, 84)","(255, 58, 0)",#be6c54,142,190,255,58,0
198,HUDA BEAUTY, Power Bullet Cream Glow Lipstick,SELF MADE (3 gr),"(151, 97, 73)","(255, 78, 0)",#976149,131,151,255,78,0
199,SEPHORA COLLECTION,Rouge Matte Lipstick,03 NO SUPER,"(168, 94, 111)","(255, 0, 59)",#a85e6f,112,168,255,0,59
200,SEPHORA COLLECTION,Rouge Matte Lipstick,07 YOU ROCK!,"(150, 59, 54)","(255, 13, 0)",#963b36,163,150,255,13,0
201,SEPHORA COLLECTION,Rouge Matte Lipstick,08 RISE TO,"(147, 69, 69)","(255, 0, 0)",#934545,135,147,255,0,0
202,SEPHORA COLLECTION,Rouge Matte Lipstick,25 BOY OH BOY!,"(171, 99, 85)","(255, 42, 0)",#ab6355,128,171,255,42,0
203,SEPHORA COLLECTION,Rouge Matte Lipstick,11 WHO CARES?,"(153, 86, 95)","(255, 0, 34)",#99565f,111,153,255,0,34
204,SEPHORA COLLECTION,Rouge Matte Lipstick,13 SO WHAT?,"(185, 33, 58)","(255, 0, 42)",#b9213a,209,185,255,0,42
205,SEPHORA COLLECTION,Rouge Matte Lipstick,15 NO FEAR,"(163, 76, 82)","(255, 0, 18)",#a34c52,136,163,255,0,18
206,SEPHORA COLLECTION,Rouge Matte Lipstick,18 WATCH OUT!,"(142, 50, 55)","(255, 0, 14)",#8e3237,165,142,255,0,14
207,SEPHORA COLLECTION,Rouge Matte Lipstick,19 FEVER PITCH,"(132, 25, 71)","(255, 0, 110)",#841947,206,132,255,0,110
208,SEPHORA COLLECTION,Rouge Matte Lipstick,02 KEEP GOING,"(166, 109, 98)","(255, 41, 0)",#a66d62,104,166,255,41,0
209,SEPHORA COLLECTION,Rouge Matte Lipstick,06 FOR THE WIN,"(157, 71, 80)","(255, 0, 27)",#9d4750,139,157,255,0,27
210,FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Uncensored,"(182, 31, 38)","(255, 0, 12)",#b61f26,211,182,255,0,12
211,FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Unbutton,"(198, 146, 125)","(255, 73, 0)",#c6927d,94,198,255,73,0
212,FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Uncuffed,"(154, 96, 95)","(255, 4, 0)",#9a605f,97,154,255,4,0
213,FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Unveil,"(128, 91, 73)","(255, 83, 0)",#805b49,109,128,255,83,0
214,FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Uninvited,"(41, 40, 46)","(43, 0, 255)",#29282e,33,46,43,0,255
215,FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Unlocked,"(227, 3, 76)","(255, 0, 83)",#e3034c,251,227,255,0,83
216,FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Unattached,"(207, 68, 73)","(255, 0, 9)",#cf4449,171,207,255,0,9
217,FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Undefeated,"(83, 56, 75)","(255, 0, 179)",#53384b,82,83,255,0,179
218,FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Underdawg (4 ml),"(73, 20, 30)","(255, 0, 48)",#49141e,185,73,255,0,48
219,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Glazed (2,8 g)","(183, 131, 118)","(255, 51, 0)",#b78376,90,183,255,51,0
220,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Tang Thang (2,8 g)","(226, 71, 43)","(255, 39, 0)",#e2472b,206,226,255,39,0
221,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Goji Gang (2,8 g)","(127, 62, 58)","(255, 15, 0)",#7f3e3a,138,127,255,15,0
222,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"$uga Kiss (2,8 g)","(240, 159, 178)","(255, 0, 60)",#f09fb2,86,240,255,0,60
223,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Bubble Rum (2,8 g)","(125, 85, 75)","(255, 51, 0)",#7d554b,102,125,255,51,0
224,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Cookies Et Cocoa (2,8 g)","(141, 83, 72)","(255, 41, 0)",#8d5348,124,141,255,41,0
225,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Makeout Break (2,8 g)","(174, 116, 102)","(255, 50, 0)",#ae7466,105,174,255,50,0
226,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Vamps Who Brunch (2,8 g)","(46, 34, 44)","(255, 0, 212)",#2e222c,66,46,255,0,212
227,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Retro Rose (2,8 g)","(183, 119, 110)","(255, 31, 0)",#b7776e,101,183,255,31,0
228,FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Quartz Candy (2,8 g)","(239, 235, 224)","(255, 187, 0)",#efebe0,16,239,255,187,0
229,TOO FACED,Too Femme Heart Core Lipstick,"Crazy for You 2,8 g","(223, 24, 79)","(255, 0, 70)",#df184f,227,223,255,0,70
230,TOO FACED,Too Femme Heart Core Lipstick,"Heart Core - 2,8 g","(178, 0, 36)","(255, 0, 52)",#b20024,255,178,255,0,52
231,TOO FACED,Too Femme Heart Core Lipstick,"Never Grow Up - 2,8 g","(161, 63, 78)","(255, 0, 39)",#a13f4e,155,161,255,0,39
232,TOO FACED,Too Femme Heart Core Lipstick,"Nothing Compares 2 U - 2,8 g","(187, 18, 37)","(255, 0, 29)",#bb1225,230,187,255,0,29
233,TOO FACED,Too Femme Heart Core Lipstick,"Sweet Tea - 2,8 g","(112, 40, 51)","(255, 0, 39)",#702833,163,112,255,0,39
234,TOO FACED,Too Femme Heart Core Lipstick,"Too Femme - 2,8 g","(146, 61, 82)","(255, 0, 63)",#923d52,148,146,255,0,63
