brand,product,color,rgb,rgb0,hex
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,BABY FACE (3 gr),"(191, 119, 105)","(255, 42, 0)",#bf7769
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,HABIBI (3 gr),"(181, 109, 97)","(255, 36, 0)",#b56d61
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,AMORE (3 gr),"(135, 77, 65)","(255, 44, 0)",#874d41
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,EMPRESS (3 gr),"(243, 175, 138)","(255, 90, 0)",#f3af8a
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,RAJAH (3 gr),"(232, 152, 117)","(255, 78, 0)",#e89875
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,HUSTLA (3 gr),"(237, 147, 121)","(255, 57, 0)",#ed9379
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,MONEY MAKER (3 gr),"(205, 128, 100)","(255, 68, 0)",#cd8064
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,GOAL DIGGER (3 gr),"(170, 119, 88)","(255, 96, 0)",#aa7758
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,BOSS CHICK (3 gr),"(190, 108, 84)","(255, 58, 0)",#be6c54
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,SELF MADE (3 gr),"(151, 97, 73)","(255, 78, 0)",#976149
SEPHORA COLLECTION,Rouge Matte Lipstick,03 NO SUPER,"(168, 94, 111)","(255, 0, 59)",#a85e6f
SEPHORA COLLECTION,Rouge Matte Lipstick,07 YOU ROCK!,"(150, 59, 54)","(255, 13, 0)",#963b36
SEPHORA COLLECTION,Rouge Matte Lipstick,08 RISE TO,"(147, 69, 69)","(255, 0, 0)",#934545
SEPHORA COLLECTION,Rouge Matte Lipstick,25 BOY OH BOY!,"(171, 99, 85)","(255, 42, 0)",#ab6355
SEPHORA COLLECTION,Rouge Matte Lipstick,11 WHO CARES?,"(153, 86, 95)","(255, 0, 34)",#99565f
SEPHORA COLLECTION,Rouge Matte Lipstick,13 SO WHAT?,"(185, 33, 58)","(255, 0, 42)",#b9213a
SEPHORA COLLECTION,Rouge Matte Lipstick,15 NO FEAR,"(163, 76, 82)","(255, 0, 18)",#a34c52
SEPHORA COLLECTION,Rouge Matte Lipstick,18 WATCH OUT!,"(142, 50, 55)","(255, 0, 14)",#8e3237
SEPHORA COLLECTION,Rouge Matte Lipstick,19 FEVER PITCH,"(132, 25, 71)","(255, 0, 110)",#841947
SEPHORA COLLECTION,Rouge Matte Lipstick,02 KEEP GOING,"(166, 109, 98)","(255, 41, 0)",#a66d62
SEPHORA COLLECTION,Rouge Matte Lipstick,06 FOR THE WIN,"(157, 71, 80)","(255, 0, 27)",#9d4750
FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Uncensored,"(182, 31, 38)","(255, 0, 12)",#b61f26
FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Unbutton,"(198, 146, 125)","(255, 73, 0)",#c6927d
FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Uncuffed,"(154, 96, 95)","(255, 4, 0)",#9a605f
FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Unveil,"(128, 91, 73)","(255, 83, 0)",#805b49
FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Uninvited,"(41, 40, 46)","(43, 0, 255)",#29282e
FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Unlocked,"(227, 3, 76)","(255, 0, 83)",#e3034c
FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Unattached,"(207, 68, 73)","(255, 0, 9)",#cf4449
FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Undefeated,"(83, 56, 75)","(255, 0, 179)",#53384b
FENTY BEAUTY BY RIHANNA,Stunna Lip Paint Longwear Fluid Lip Color,Underdawg (4 ml),"(73, 20, 30)","(255, 0, 48)",#49141e
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Glazed (2,8 g)","(183, 131, 118)","(255, 51, 0)",#b78376
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Tang Thang (2,8 g)","(226, 71, 43)","(255, 39, 0)",#e2472b
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Goji Gang (2,8 g)","(127, 62, 58)","(255, 15, 0)",#7f3e3a
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"$uga Kiss (2,8 g)","(240, 159, 178)","(255, 0, 60)",#f09fb2
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Bubble Rum (2,8 g)","(125, 85, 75)","(255, 51, 0)",#7d554b
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Cookies Et Cocoa (2,8 g)","(141, 83, 72)","(255, 41, 0)",#8d5348
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Makeout Break (2,8 g)","(174, 116, 102)","(255, 50, 0)",#ae7466
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Vamps Who Brunch (2,8 g)","(46, 34, 44)","(255, 0, 212)",#2e222c
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Retro Rose (2,8 g)","(183, 119, 110)","(255, 31, 0)",#b7776e
FENTY BEAUTY BY RIHANNA,Slip Shine Sheer Shiny Lipstick,"Quartz Candy (2,8 g)","(239, 235, 224)","(255, 187, 0)",#efebe0
TOO FACED,Too Femme Heart Core Lipstick,"Crazy for You 2,8 g","(223, 24, 79)","(255, 0, 70)",#df184f
TOO FACED,Too Femme Heart Core Lipstick,"Heart Core - 2,8 g","(178, 0, 36)","(255, 0, 52)",#b20024
TOO FACED,Too Femme Heart Core Lipstick,"Never Grow Up - 2,8 g","(161, 63, 78)","(255, 0, 39)",#a13f4e
TOO FACED,Too Femme Heart Core Lipstick,"Nothing Compares 2 U - 2,8 g","(187, 18, 37)","(255, 0, 29)",#bb1225
TOO FACED,Too Femme Heart Core Lipstick,"Sweet Tea - 2,8 g","(112, 40, 51)","(255, 0, 39)",#702833
TOO FACED,Too Femme Heart Core Lipstick,"Too Femme - 2,8 g","(146, 61, 82)","(255, 0, 63)",#923d52
